Year,cd,Bachelors_degree_or_higher,high_school_or_some_degree,Less_than_high_school_graduate
2021,44_CA,169438,486531,204970
2021,45_CA,57894,78209,16841
2021,46_CA,145615,339802,124367
2021,47_CA,349778,343626,75557
2021,48_CA,314869,658142,126058
2021,49_CA,297925,284673,40516
2021,5_AL,127011,205547,36961
2021,5_AZ,154674,220732,21143
2021,5_CA,160418,484044,122403
2021,5_CO,163438,281116,28303
2021,5_CT,170946,266017,41947
2021,5_FL,189349,274969,31941
2021,5_GA,318718,243272,44561
2021,5_IL,126183,23480,2072
2021,5_IN,202509,265327,33749
2021,5_KY,74683,349983,86593
2021,5_LA,88593,328643,79782
2021,5_MA,356066,232560,40182
2021,5_MD,109901,179352,17889
2021,5_MI,114420,381759,53312
2021,5_MN,267454,271702,45523
2021,5_MO,101005,192090,32012
2021,5_NC,92869,206222,35268
2021,5_NJ,241764,196743,23783
2021,5_NY,167562,298141,69751
2021,5_OH,116763,363741,41548
2021,5_OK,192478,386356,67441
2021,5_OR,163619,280437,35939
2021,5_PA,168934,223750,26926
2021,5_SC,96620,225517,37878
2021,5_TN,246235,332460,54852
2021,5_TX,96379,339978,87874
2021,5_VA,151127,282641,41172
2021,5_WA,117249,285909,29455
2021,5_WI,124970,143786,12171
2021,50_CA,223384,204457,41638
2021,51_CA,92148,93861,13901
2021,52_CA,66796,202747,48406
2021,6_AL,209344,373573,59935
2021,6_AZ,174240,367159,67729
2021,6_CA,99872,241389,42102
2021,6_CO,290101,357619,71235
2021,6_FL,87161,272615,41907
2021,6_GA,219540,208733,33261
2021,6_IL,167010,318103,57500
2021,6_IN,110372,280768,51246
2021,6_KY,133232,226773,31462
2021,6_LA,72743,137465,18643
2021,6_MA,208434,198615,29994
2021,6_MD,183748,261071,43237
2021,6_MI,268645,306546,29030
2021,6_MN,98802,206903,20235
2021,6_MO,132350,352224,44282
2021,6_NC,176982,385944,71131
2021,6_NJ,229933,307096,56449
2021,6_NY,138924,237528,90318
2021,6_OH,68230,262828,31566
2021,6_OR,221693,375539,67585
2021,6_PA,241604,254635,47117
2021,6_SC,237132,525064,86478
2021,6_TN,63332,174589,28896
2021,6_TX,32188,134936,32910
