Year,cd,Total_Agriculture_forestry_fishing_hunting_mining,Total_Construction,Total_Manufacturing,Total_Wholesale_trade,Total_Retail_trade,Total_Transportation_warehousing_utilities,Total_Information,Total_Finance_insurance_realestate_rental_leasing,Total_Professional_scientific_management_administrative_waste_management_services,Total_Educationalservices_healthcare_socialassistance,Total_Arts_entertainment_recreation_accommodation_foodservices,Total_Otherservices_except_Public_administration,Total_Public_administration,Male,Male_Agriculture_forestry_fishing_hunting_mining,Male_Construction,Male_Manufacturing,Male_Wholesale_trade,Male_Retail_trade,Male_Transportation_warehousing_utilities,Male_Information,Male_Finance_insurance_realestate_rental_leasing,Male_Professional_scientific_management_administrative_waste_management_services,Male_Educationalservices_healthcare_socialassistance,Male_Arts_entertainment_recreation_accommodation_foodservices,Male_Otherservices_except_Public_administration,Male_Public_administration,Female,Female_Agriculture_forestry_fishing_hunting_mining,Female_Construction,Female_Manufacturing,Female_Wholesale_trade,Female_Retail_trade,Female_Transportation_warehousing_utilities,Female_Information,Female_Finance_insurance_realestate_rental_leasing,Female_Professional_scientific_management_administrative_waste_management_services,Female_Educationalservices_healthcare_socialassistance,Female_Arts_entertainment_recreation_accommodation_foodservices,Female_Otherservices_except_Public_administration,Female_Public_administration
2019,2_NY,429,16422,18306,7357,18626,13889,6162,16331,22852,54031,10102,8316,13318,118077,284,15142,12717,4937,11844,11100,3640,8767,13613,15751,6277,4737,9268,88064,145,1280,5589,2420,6782,2789,2522,7564,9239,38280,3825,3579,4050
2019,20_NY,1143,12095,20626,5822,19172,9463,4410,20138,29361,58292,13354,8961,29062,127744,885,10821,16188,4872,12158,7658,2969,9715,17794,18206,7183,4663,14632,104155,258,1274,4438,950,7014,1805,1441,10423,11567,40086,6171,4298,14430
2019,21_NY,5930,19321,29672,5369,25899,14059,3615,13212,19784,67997,14122,9761,25362,141714,5039,17893,22233,3896,16086,11230,2350,4875,11732,18711,7690,5381,14598,112389,891,1428,7439,1473,9813,2829,1265,8337,8052,49286,6432,4380,10764
2019,22_NY,2367,12684,23566,7285,20522,12045,5037,19279,21623,67909,13673,9251,14390,126225,2001,11462,18032,5631,13148,9271,3056,7859,13189,20384,8106,5251,8835,103406,366,1222,5534,1654,7374,2774,1981,11420,8434,47525,5567,4000,5555
2019,24_NY,9667,25191,58738,10562,32935,17013,5997,20493,32525,91293,16217,13666,22736,204957,8206,23564,43566,8334,19613,13444,3737,8832,19917,24389,8821,8238,14296,152076,1461,1627,15172,2228,13322,3569,2260,11661,12608,66904,7396,5428,8440
2019,23_NY,4364,14397,39730,5507,18594,10395,2709,12757,16249,54664,10520,8866,14445,121218,3532,13209,30279,4355,10153,8586,1839,5099,9749,14755,5732,4887,9043,91979,832,1188,9451,1152,8441,1809,870,7658,6500,39909,4788,3979,5402
2019,26_NY,583,11946,32560,7688,22873,13574,4775,27125,28229,71043,17096,10180,14899,143416,470,10828,24330,5513,13171,10590,3162,12537,16761,20785,9567,5840,9862,119155,113,1118,8230,2175,9702,2984,1613,14588,11468,50258,7529,4340,5037
2019,25_NY,686,9243,28723,5009,17336,8132,5346,11372,24796,60689,10662,7627,7226,107274,563,8532,20556,3785,10581,6446,3675,5514,14330,18690,6321,3800,4481,89573,123,711,8167,1224,6755,1686,1671,5858,10466,41999,4341,3827,2745
2019,17_PA,1535,10478,20564,6089,15189,11724,3241,18704,22903,41953,7951,6451,5536,97685,1159,9283,15824,4429,8295,8937,2126,9361,14389,12937,4087,3532,3326,74633,376,1195,4740,1660,6894,2787,1115,9343,8514,29016,3864,2919,2210
2019,14_PA,10650,24714,50502,11790,34823,23515,4936,21996,30536,81794,16991,14703,14164,198865,9332,22745,39342,9069,18748,18993,3096,9812,19404,21831,8261,9194,9038,142249,1318,1969,11160,2721,16075,4522,1840,12184,11132,59963,8730,5509,5126
2019,12_PA,1811,13321,25770,7636,24737,15429,6018,29309,39596,82818,16815,11620,11616,156076,1479,12110,19471,5496,14051,11407,3751,13819,24673,27321,9362,6138,6998,130420,332,1211,6299,2140,10686,4022,2267,15490,14923,55497,7453,5482,4618
2019,16_PA,3442,14272,45126,6633,21320,12257,3267,16430,19436,60699,11660,9458,9969,135673,2841,13066,36238,5042,12198,10143,2191,7523,12324,16479,6157,5696,5775,98296,601,1206,8888,1591,9122,2114,1076,8907,7112,44220,5503,3762,4194
2019,13_PA,5501,15971,34200,6091,20211,14748,2600,8442,13156,47429,8512,8028,13346,116243,4891,14774,26171,4548,12005,11943,1781,2648,8113,11498,4121,5326,8424,81992,610,1197,8029,1543,8206,2805,819,5794,5043,35931,4391,2702,4922
2019,15_PA,8738,17223,52052,6315,24526,15354,2784,11111,16752,74312,10247,10121,13545,153827,7827,15957,40085,5156,13416,13000,1804,4257,10197,22265,4953,6590,8320,109253,911,1266,11967,1159,11110,2354,980,6854,6555,52047,5294,3531,5225
2019,9_PA,9679,21963,60173,10443,32632,22430,3685,14447,22165,81467,13315,12497,16351,186090,8277,20230,45781,7732,19316,18060,2241,5408,12781,20876,6621,8189,10578,135157,1402,1733,14392,2711,13316,4370,1444,9039,9384,60591,6694,4308,5773
2019,10_PA,3150,19802,47034,11712,30046,24820,4607,25541,34334,70851,14143,13909,30656,185198,2611,17719,34318,8711,16615,19843,3066,10033,21378,17854,7478,8165,17407,145407,539,2083,12716,3001,13431,4977,1541,15508,12956,52997,6665,5744,13249
